p1_x,p1_y,p2_x,p2_y
-71.5365745,-16.3929116,-71.5369023,-16.3926178
-71.5365745,-16.3929116,-71.5366424,-16.3930048
-71.5365745,-16.3929116,-71.5364818,-16.3929853
-71.5420917,-16.3999551,-71.5419226,-16.3994833
-71.5420917,-16.3999551,-71.5424806,-16.4006325
-71.5420917,-16.3999551,-71.5416662,-16.4001069
-71.5360857,-16.3949866,-71.5364693,-16.3960326
-71.5360857,-16.3949866,-71.5355389,-16.395168
-71.5364693,-16.3960326,-71.5360463,-16.3961852
-71.5364693,-16.3960326,-71.5364766,-16.3960707
-71.5407441,-16.3964679,-71.5409255,-16.3967032
-71.5407441,-16.3964679,-71.540668,-16.3966854
-71.5407441,-16.3964679,-71.5400255,-16.3958616
-71.540668,-16.3966854,-71.5406053,-16.3967628
-71.540668,-16.3966854,-71.5407127,-16.3967384
-71.5371696,-16.3927608,-71.5372162,-16.3929742
-71.5371696,-16.3927608,-71.5369628,-16.3928675
-71.5371696,-16.3927608,-71.5373579,-16.3926671
-71.5395689,-16.3920033,-71.5395601,-16.3919779
-71.5395689,-16.3920033,-71.5396862,-16.3923351
-71.5395689,-16.3920033,-71.5395505,-16.3923324
-71.5471994,-16.3973109,-71.547326,-16.3972559
-71.5471994,-16.3973109,-71.5472134,-16.3971538
-71.5471994,-16.3973109,-71.5472625,-16.3973894
-71.5475237,-16.3971443,-71.5475569,-16.3972416
-71.5475237,-16.3971443,-71.5472702,-16.3970974
-71.5475569,-16.3972416,-71.5478392,-16.3975763
-71.5475569,-16.3972416,-71.547311,-16.3974138
-71.5424577,-16.3997158,-71.5428097,-16.4014739
-71.5424577,-16.3997158,-71.5418442,-16.3990897
-71.5424577,-16.3997158,-71.5445806,-16.3985992
-71.5418442,-16.3990897,-71.5417761,-16.3988791
-71.5418442,-16.3990897,-71.5418623,-16.3991417
-71.5424806,-16.4006325,-71.5420002,-16.3995104
-71.5424806,-16.4006325,-71.5425198,-16.4007104
-71.5419226,-16.3994833,-71.5418623,-16.3991417
-71.5419226,-16.3994833,-71.5423453,-16.3996428
-71.5418079,-16.3983995,-71.5421449,-16.399488
-71.5418079,-16.3983995,-71.5423453,-16.3996428
-71.5418079,-16.3983995,-71.5411805,-16.3970436
-71.5427535,-16.4024061,-71.5427306,-16.4017533
-71.5427535,-16.4024061,-71.5423256,-16.4025827
-71.5427535,-16.4024061,-71.5428246,-16.4025393
-71.545107,-16.412141,-71.5451621,-16.4121026
-71.545107,-16.412141,-71.5445946,-16.4115199
-71.545107,-16.412141,-71.5441398,-16.412876
-71.5514714,-16.4083481,-71.5517525,-16.4082259
-71.5514714,-16.4083481,-71.5506351,-16.4088951
-71.5514714,-16.4083481,-71.5513464,-16.407357
-71.5514714,-16.4083481,-71.5505975,-16.4088445
-71.5456971,-16.4211475,-71.5455595,-16.4212786
-71.5456971,-16.4211475,-71.5455976,-16.4210432
-71.5456971,-16.4211475,-71.5457657,-16.4210853
-71.5472096,-16.40594,-71.5472808,-16.4059663
-71.5472096,-16.40594,-71.5465436,-16.4048443
-71.5472096,-16.40594,-71.5471882,-16.4060335
-71.5471882,-16.4060335,-71.5468986,-16.40564
-71.5471882,-16.4060335,-71.5472808,-16.4059663
-71.5471882,-16.4060335,-71.5481162,-16.4072049
-71.5462255,-16.4042329,-71.5461718,-16.4041153
-71.5462255,-16.4042329,-71.5460926,-16.4042823
-71.5462255,-16.4042329,-71.5465436,-16.4048443
-71.5462255,-16.4042329,-71.547473,-16.4037954
-71.5465436,-16.4048443,-71.547896,-16.4042845
-71.5424846,-16.4043244,-71.5418987,-16.403761
-71.5424846,-16.4043244,-71.542612,-16.4042369
-71.5424846,-16.4043244,-71.542448,-16.4045818
-71.5427896,-16.4047297,-71.5430318,-16.4054032
-71.5427896,-16.4047297,-71.5425934,-16.4047236
-71.5427896,-16.4047297,-71.5429374,-16.4043571
-71.542448,-16.4045818,-71.5418374,-16.4048587
-71.542448,-16.4045818,-71.5425934,-16.4047236
-71.542612,-16.4042369,-71.5429374,-16.4043571
-71.542612,-16.4042369,-71.5423585,-16.4035843
-71.5472713,-16.4025628,-71.5470373,-16.4019477
-71.5472713,-16.4025628,-71.5474855,-16.4031585
-71.5472713,-16.4025628,-71.5478485,-16.40237
-71.5472713,-16.4025628,-71.545659,-16.4030993
-71.5429374,-16.4043571,-71.5432717,-16.4042209
-71.5474855,-16.4031585,-71.5475722,-16.4034127
-71.5474855,-16.4031585,-71.545987,-16.403687
-71.5474855,-16.4031585,-71.5480725,-16.4029564
-71.5478485,-16.40237,-71.5480725,-16.4029564
-71.5478485,-16.40237,-71.5473967,-16.4010965
-71.5498646,-16.4000676,-71.5499636,-16.4000001
-71.5498646,-16.4000676,-71.5493965,-16.4003783
-71.5498646,-16.4000676,-71.5495812,-16.3996813
-71.5498646,-16.4000676,-71.5508085,-16.4015608
-71.5493073,-16.4037069,-71.5495275,-16.4042227
-71.5493073,-16.4037069,-71.5499016,-16.4034651
-71.5493073,-16.4037069,-71.5485744,-16.4034294
-71.5493073,-16.4037069,-71.5488065,-16.4025648
-71.5493073,-16.4037069,-71.547896,-16.4042845
-71.5490933,-16.4024326,-71.5488065,-16.4025648
-71.5490933,-16.4024326,-71.5489048,-16.4018954
-71.5490933,-16.4024326,-71.5493931,-16.4022831
-71.5509265,-16.4026654,-71.5512262,-16.4025458
-71.5509265,-16.4026654,-71.5505024,-16.4017056
-71.5509265,-16.4026654,-71.5510605,-16.4029965
-71.5512262,-16.4025458,-71.5513329,-16.4025
-71.5512262,-16.4025458,-71.5508085,-16.4015608
-71.5512262,-16.4025458,-71.5513499,-16.402882
-71.5508085,-16.4015608,-71.5505024,-16.4017056
-71.5508085,-16.4015608,-71.5508961,-16.4015214
-71.5464353,-16.4003179,-71.546502,-16.4005144
-71.5464353,-16.4003179,-71.5470361,-16.4001274
-71.5464353,-16.4003179,-71.5464215,-16.4000791
-71.5457276,-16.3979937,-71.5456364,-16.3980329
-71.5457276,-16.3979937,-71.5456859,-16.3978875
-71.5457276,-16.3979937,-71.5461577,-16.3990815
-71.5457276,-16.3979937,-71.5458468,-16.3979352
-71.5456859,-16.3978875,-71.545803,-16.3978368
-71.5456859,-16.3978875,-71.5454173,-16.3972024
-71.5456859,-16.3978875,-71.5455867,-16.3979421
-71.5463845,-16.3996793,-71.5461577,-16.3990815
-71.5463845,-16.3996793,-71.5464213,-16.3999316
-71.5463845,-16.3996793,-71.5460109,-16.3998158
-71.5514614,-16.4028382,-71.5513499,-16.402882
-71.5514614,-16.4028382,-71.5517197,-16.4031986
-71.5514614,-16.4028382,-71.5513329,-16.4025
-71.5513499,-16.402882,-71.551668,-16.4032907
-71.5506786,-16.4165786,-71.5504487,-16.4169741
-71.5506786,-16.4165786,-71.5493337,-16.417816
-71.5506786,-16.4165786,-71.5513214,-16.416004
-71.5435595,-16.404095,-71.5436231,-16.4040677
-71.5435595,-16.404095,-71.5434762,-16.4041309
-71.5435595,-16.404095,-71.5436142,-16.4041478
-71.5435595,-16.404095,-71.5433303,-16.4037866
-71.5434762,-16.4041309,-71.5434485,-16.4040733
-71.5434762,-16.4041309,-71.5434271,-16.4041522
