y	x
-16.405578599999900	-71.526070000000000
-16.401706999999900	-71.528466499999900
-16.411243500000000	-71.524742599999900
-16.410825299999900	-71.536022399999900
-16.395278300000000	-71.538609300000000
-16.412768600000000	-71.536429600000000
-16.402693100000000	-71.542031600000000
-16.410470900000000	-71.532627700000000
-16.407812100000000	-71.516361799999900
-16.410825599999900	-71.533272699999900
-16.401947700000000	-71.547037300000000
-16.408400000000000	-71.526522000000000
-16.396261800000000	-71.547172200000000
-16.411963799999900	-71.528371600000000
-16.397755900000000	-71.544335700000000
-16.416127299999900	-71.551338999999900
-16.413465200000000	-71.528546399999900
-16.407276000000000	-71.548322099999900
-16.406351900000000	-71.527230799999900
-16.409767700000000	-71.522482299999900
-16.406508500000000	-71.542816700000000
-16.400982700000000	-71.527530499999900
-16.411924899999900	-71.540901300000000
-16.395445700000000	-71.538101499999900
-16.403375300000000	-71.551626799999900
-16.416765800000000	-71.532925800000000
-16.400111700000000	-71.545172199999900
-16.407068800000000	-71.538452100000000
-16.407639199999900	-71.528433300000000
-16.403910600000000	-71.520435199999900
-16.401106299999900	-71.532301500000000
-16.414030499999900	-71.543909299999900
-16.409705800000000	-71.544166200000000
-16.398246199999900	-71.548464100000000
-16.399137899999900	-71.531070600000000
-16.402408900000000	-71.538840300000000
-16.412877600000000	-71.536883099999900
-16.393347500000000	-71.537370899999900
-16.410677600000000	-71.521629000000000
-16.399113900000000	-71.537567600000000
-16.407781100000000	-71.534141099999900
-16.400011200000000	-71.531888800000000
-16.411538100000000	-71.540327300000000
-16.394320900000000	-71.533858800000000
-16.404683200000000	-71.544273899999900
-16.408485400000000	-71.519022199999900
-16.405554100000000	-71.535434800000000
-16.410390400000000	-71.547071900000000
-16.408324900000000	-71.524780399999900
-16.401477100000000	-71.521030100000000
-16.408262799999900	-71.539242400000000
-16.404126999999900	-71.531446799999900
-16.401880800000000	-71.526625999999900
-16.411782800000000	-71.535726100000000
-16.410378000000000	-71.523673099999900
-16.420635099999900	-71.539179700000000
-16.400636100000000	-71.548973099999900
-16.399619099999900	-71.522446599999900
-16.421492900000000	-71.541337200000000
-16.409589000000000	-71.530862799999900
-16.404893600000000	-71.529759900000000
-16.383769000000000	-71.536765000000000
-16.408624000000000	-71.527176499999900
-16.404492699999900	-71.538472299999900
-16.414133499999900	-71.528018399999900
-16.391214500000000	-71.535937899999900
-16.394623200000000	-71.537144200000000
-16.409158000000000	-71.525064799999900
-16.405740200000000	-71.542493699999900
-16.423687500000000	-71.547062600000000
-16.400317300000000	-71.531314199999900
-16.410274200000000	-71.513460199999900
-16.408872700000000	-71.529295099999900
-16.408341100000000	-71.517667700000000
-16.406829500000000	-71.534738800000000
-16.398720600000000	-71.543846099999900
-16.414157400000000	-71.534675600000000
-16.398415700000000	-71.544717899999900
-16.404313200000000	-71.520920500000000
-16.415906199999900	-71.551108999999900
-16.404357999999900	-71.527446900000000
-16.410039099999900	-71.522990399999900
-16.390997800000000	-71.536524400000000
-16.400383999999900	-71.529637300000000
-16.409977600000000	-71.526308400000000
-16.412136199999900	-71.540182000000000
-16.390788300000000	-71.531946399999900
-16.414033300000000	-71.535758400000000
-16.397497600000000	-71.542040000000000
-16.412118700000000	-71.528870800000000
-16.401517500000000	-71.546173300000000
-16.393675800000000	-71.533657700000000
-16.403099300000000	-71.545659000000000
-16.403782799999900	-71.518331799999900
-16.404945999999900	-71.534374999999900
-16.404985600000000	-71.520871099999900
-16.400723100000000	-71.541902600000000
-16.404588799999900	-71.530109400000000
-16.401707300000000	-71.524197200000000
-16.413436600000000	-71.538983900000000
-16.403954299999900	-71.541451600000000
-16.412782400000000	-71.536923700000000
-16.409677800000000	-71.521067599999900
-16.414582200000000	-71.535607799999900
-16.408086500000000	-71.532006800000000
-16.399519600000000	-71.525763100000000
-16.415861799999900	-71.538214600000000
-16.408660500000000	-71.539572199999900
-16.408230199999900	-71.526696400000000
-16.421017500000000	-71.545420699999900
-16.409936699999900	-71.528236600000000
-16.422366600000000	-71.544162099999900
-16.408317199999900	-71.544815200000000
-16.398241899999900	-71.545042300000000
-16.412667899999900	-71.536449800000000
-16.390215699999900	-71.532044799999900
-16.394408100000000	-71.537734000000000
-16.431028900000000	-71.561276100000000
-16.402315999999900	-71.522608399999900
-16.410175500000000	-71.522120000000000
-16.399947000000000	-71.526288300000000
-16.406525800000000	-71.530111500000000
-16.411518399999900	-71.538407100000000
-16.404723600000000	-71.542593400000000
